SchoolName,Year,BEA_Region,Size,Instruction,Instruction_Growth,Instruction_Per_Student,Instruction_Pct,Public_Service,Public_Service_Growth,Public_Service_Per_Student,Public_Service_Pct,Academic_Support,Academic_Support_Growth,Academic_Support_Per_Student,Academic_Support_Pct,Student_Services,Student_Services_Growth,Student_Services_Per_Student,Student_Services_Pct,Institutional_Support,Institutional_Support_Growth,Institutional_Support_Per_Student,Institutional_Support_Pct,Auxiliary_Enterprises,Auxiliary_Enterprises_Growth,Auxiliary_Enterprises_Per_Student,Auxiliary_Enterprises_Pct,Net_Scholarships,Net_Scholarships_Growth,Net_Scholarships_Per_Student,Net_Scholarships_Pct,Other_Expenses,Other_Expenses_Growth,Other_Expenses_Per_Student,Other_Expenses_Pct,Total_Expenses,Total_Expenses_Growth,Total_Expenses_Per_Student,Graduate_FTE,Graduate_FTE_Growth,Undergrad_FTE,Undergrad_FTE_Growth,Undergrad_FTE_Pct,Total_FTE_Students,FTE_Student_Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2004,1,3,30602831,0,5498,39,512872,0,92,1,11104645,0,1995,14,6412905,0,1152,8,12083884,0,2171,15,137464,0,25,0,3931030,0,706,5,0,0,0,0,77966704,0,14008,39,0,5527,0,99,5566,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2005,1,3,32624491,7,4412,36,403412,-21,55,0,16440986,48,2223,18,6665085,4,901,7,13860791,15,1874,15,272850,98,37,0,8167038,108,1104,9,0,0,0,0,89964960,15,12166,36,-8,7359,33,100,7395,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2006,1,3,37292034,14,4725,36,338770,-16,43,0,16604800,1,2104,16,8192520,23,1038,8,17419644,26,2207,17,186374,-32,24,0,8590470,5,1089,8,0,0,0,0,103739845,15,13145,36,0,7856,7,100,7892,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2007,1,3,42475278,14,6457,38,384608,14,58,0,16973190,2,2580,15,9203010,12,1399,8,19042527,9,2895,17,297766,60,45,0,8875151,3,1349,8,0,0,0,0,111986974,8,17024,38,6,6540,-17,99,6578,-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2008,1,3,48136420,13,7269,41,395490,3,60,0,15848739,-7,2393,13,10168339,10,1536,9,19694083,3,2974,17,375893,26,57,0,8678906,-2,1311,7,0,0,0,0,117729850,5,17779,41,8,6581,1,99,6622,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2009,1,3,45449384,-6,6650,37,366395,-7,54,0,14138842,-11,2069,12,11131037,9,1629,9,20094167,2,2940,16,4646651,1136,680,4,7924553,-9,1160,7,0,0,0,0,121812311,3,17824,37,-10,6797,3,99,6834,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2010,1,3,54743468,20,7896,46,451296,23,65,0,13728557,-3,1980,12,13232035,19,1909,11,21163812,5,3053,18,5734451,23,827,5,9123702,15,1316,8,0,0,0,0,118177321,-3,17046,46,24,6887,1,99,6933,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2011,1,3,60027118,10,8686,46,527275,17,76,0,14234708,4,2060,11,13848991,5,2004,11,22229987,5,3217,17,5158876,-10,746,4,14531904,59,2103,11,0,0,0,0,130558859,10,18891,46,0,6865,0,99,6911,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2012,1,3,62157431,4,9117,45,618340,17,91,0,15351582,8,2252,11,15118683,9,2217,11,24262408,9,3559,18,4681159,-9,687,3,15271965,5,2240,11,0,0,0,0,137461568,5,20162,45,-2,6773,-1,99,6818,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2013,1,3,62294536,0,9010,44,791276,28,114,1,15835704,3,2290,11,15795408,4,2285,11,25351950,4,3667,18,4906500,5,710,3,15405490,1,2228,11,0,0,0,0,140380864,2,20304,44,-2,6870,1,99,6914,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2014,1,3,67870576,9,9984,45,762656,-4,112,1,16929172,7,2490,11,16783246,6,2469,11,26772195,6,3938,18,4825457,-2,710,3,16504593,7,2428,11,0,0,0,0,150447895,7,22131,45,2,6753,-2,99,6798,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2015,1,3,69958768,3,10287,44,752153,-1,111,0,18162302,7,2671,11,18984029,13,2791,12,28671250,7,4216,18,5114858,6,752,3,17105766,4,2515,11,0,0,0,0,158749126,6,23342,44,-2,6757,0,99,6801,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem State University,2016,1,3,62105259,-11,9256,36,1640439,118,244,1,15796526,-13,2354,9,19277618,2,2873,11,25968389,-9,3870,15,18060246,253,2692,11,3223287,-81,480,2,25752248,0,3838,15,171824012,8,25607,36,-18,6674,-1,99,6710,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
