SchoolName,Year,TotalFTE,TuitionAndFeeRevenues,AuxiliaryEnterprisesRevenues,OperatingRevenues,NonoperatingRevenues,TotalRevenues,InstructionExpenses,PublicServiceExpenses,AcademicSupportExpenses,StudentServicesExpenses,InstitutionalSupportExpenses,NetScholarshipsExpenses,AuxiliaryEnterprisesExpenses,OtherExpenses,TotalExpenses,TotalWagesExpenses,TotalFringeBenefitsExpenses,ChangeInNetPosition
Bridgewater State University,2004,8293,3894,1136,5997,4950,11004,3423,81,1438,1229,1378,153,1152,10,10624,6046,834,380
Bridgewater State University,2005,7814,5699,1171,7975,5279,13283,3908,113,1566,1594,1752,322,1259,0,12193,7188,1092,1090
Bridgewater State University,2006,8415,5427,1346,7757,5361,13245,4230,117,1784,1430,1430,350,1218,0,12448,6934,1191,797
Bridgewater State University,2007,7303,6558,1641,9417,6921,16447,5507,225,2227,1914,1770,434,1421,0,15879,10350,1691,569
Bridgewater State University,2008,7665,6634,2275,9687,7821,17680,5821,238,2291,2224,1938,483,2101,0,17595,9570,1920,85
Bridgewater State University,2009,9525,5750,1987,8962,5590,14656,4989,209,1221,1555,1411,415,1706,0,13416,7349,1060,1240
Bridgewater State University,2010,9792,6077,2157,9531,5013,14786,4925,208,1294,1684,1484,575,1885,2047,14102,8005,798,685
Bridgewater State University,2011,9393,6912,2290,10730,6203,16965,5220,241,1814,1963,1701,724,2094,2129,15887,8857,1143,1078
Bridgewater State University,2012,10224,6862,2059,9612,5850,15526,5073,195,1789,1866,1580,691,1949,2137,15280,8642,1068,246
Bridgewater State University,2013,9385,8054,2320,11056,6455,17645,5667,241,1964,2106,1840,775,2128,2422,17143,9714,985,501
Bridgewater State University,2014,9210,8172,2674,11655,7159,18872,6347,200,2247,2341,1834,971,2533,2266,18739,10677,1125,133
Bridgewater State University,2015,11240,6825,2326,9835,6138,24001,6044,195,2184,2145,1661,879,2116,1816,17040,9349,987,6961
Bridgewater State University,2016,10753,7716,2494,11024,6690,17846,6044,258,2213,2211,2082,976,2245,2726,18755,9929,1150,-909
Bridgewater State University,2017,9636,9348,2771,13055,7792,20942,7270,288,2648,2397,2038,1409,2733,2862,21645,10437,2780,-703
Bridgewater State University,2018,10213,9436,2589,12872,7500,20431,7308,282,2587,2339,2035,1711,2431,2813,21506,9406,3915,-1075
Fitchburg State University,2004,3513,4357,1229,7655,7249,14938,5155,224,1229,1553,1935,434,1149,0,14155,7783,1723,783
Fitchburg State University,2005,3348,5165,1511,8847,8329,17334,5651,191,1380,1791,2153,476,1423,0,16147,8603,2112,1188
Fitchburg State University,2006,5722,3258,971,5455,5369,11055,4009,105,819,1152,1079,39,947,0,10129,5528,1352,925
Fitchburg State University,2007,5035,4049,1203,6719,6573,13674,4818,98,1020,1404,1334,56,1135,0,12531,6540,1817,1144
Fitchburg State University,2008,4431,4998,1398,7653,8362,16162,6037,126,1210,1695,1648,33,1311,0,15438,7645,2537,724
Fitchburg State University,2009,4899,5122,1349,7667,6488,14323,5119,80,930,1497,1329,327,1266,0,13716,6927,1589,608
Fitchburg State University,2010,4410,6092,1864,9310,8289,17981,7802,114,1321,2274,1834,407,1776,0,15554,7722,1909,2427
Fitchburg State University,2011,4080,6992,2013,10243,9553,21134,8834,139,1590,2668,2123,457,2070,0,17901,8589,2489,3232
Fitchburg State University,2012,5582,5223,1492,7568,6437,17929,6695,104,1133,2045,1567,314,1590,45,13500,6518,1867,4429
Fitchburg State University,2013,5411,5559,1532,8070,6945,18075,7350,134,1205,2349,1808,326,1704,0,14878,7253,1721,3197
Fitchburg State University,2014,4732,6664,1811,9708,8930,21427,9073,143,1389,2762,2129,419,1928,40,17883,8715,2103,3544
Fitchburg State University,2015,5173,6119,1826,9145,8357,18420,8473,98,1430,2709,2083,398,1830,266,17288,8229,1928,1132
Fitchburg State University,2016,4351,7859,2167,11536,10118,21969,10484,138,1879,3235,2989,494,2117,0,21337,9128,2868,632
Fitchburg State University,2017,4120,8923,2380,12831,11350,24540,11896,153,2055,3528,3503,569,2420,0,24130,9964,3228,411
Fitchburg State University,2018,5625,7027,1924,10194,8528,18890,8759,120,1701,2646,2687,541,1932,0,18407,7438,2448,483
Framingham State University,2004,5367,3374,0,5048,3839,8980,3025,0,875,938,1035,42,816,0,8496,4584,940,484
Framingham State University,2005,4568,4139,0,6346,5067,11414,3755,0,1289,1226,1402,71,1076,0,11037,5991,1366,377
Framingham State University,2006,5062,3922,0,6057,5151,11461,3561,0,1251,1166,1275,79,1133,0,10656,5693,1289,805
Framingham State University,2007,4338,5023,0,7706,7220,16652,4889,0,1750,1531,1700,62,1400,0,14104,6819,1911,2549
Framingham State University,2008,4012,5571,0,8246,8542,17498,5940,0,1992,1909,2268,32,1516,0,17043,8287,2511,455
Framingham State University,2009,5420,4275,1423,6327,5527,13442,3765,0,1323,1209,1560,34,1237,0,11807,5739,1160,1635
Framingham State University,2010,5377,4571,1573,7329,4942,12577,4805,0,1701,1549,1999,29,1704,1280,13068,5991,1218,-491
Framingham State University,2011,4886,5323,1915,7890,6954,15210,5465,0,2267,1909,2286,47,2122,394,14490,6673,1641,720
Framingham State University,2012,5625,5537,2204,8259,5847,15041,5080,0,2014,1909,2304,33,2338,592,14269,6339,1588,772
Framingham State University,2013,5009,6679,2617,10090,7041,17676,5824,0,2302,2240,2813,34,2741,155,16111,7773,1510,1565
Framingham State University,2014,4736,7103,2901,10816,8625,21214,7305,0,2665,2808,2099,33,2707,278,17919,8759,1853,3295
Framingham State University,2015,5942,5686,2391,9055,6824,21769,5960,0,2051,2289,1848,24,2482,349,15312,7334,1529,6456
Framingham State University,2016,6024,5714,2441,9549,7215,20200,6337,0,2397,2409,2187,17,2102,1793,17572,7587,1732,2628
