SchoolName,Year,Total FTE,Tuition & fees - % of revenues,Auxiliary enterprises - % of revenues,Operating - % of revenues,Nonoperating - % of revenues,Total revenues ($/FTE),Instruction - % of Expenses,Public Service - % of Expenses,Academic Support - % of Expenses,Student Services - % of Expenses,Institutional Support - % of Expenses,Net Scholarships - % of Expenses,Auxiliary Enterprises - % of Expenses,Other - % of Expenses,Total Expenses ($/FTE),Total Wages - % of Expenses,Total Fringe Benefits - % of Expenses,Change in Net Position ($/FTE)
Bridgewater State University,2004,8293,0.354,0.103,0.545,0.45,11004,0.322,0.008,0.135,0.116,0.13,0.014,0.108,0.001,10624,0.569,0.078,380
Bridgewater State University,2005,7814,0.429,0.088,0.6,0.397,13283,0.321,0.009,0.128,0.131,0.144,0.026,0.103,0,12193,0.59,0.09,1090
Bridgewater State University,2006,8415,0.41,0.102,0.586,0.405,13245,0.34,0.009,0.143,0.115,0.115,0.028,0.098,0,12448,0.557,0.096,797
Bridgewater State University,2007,7303,0.399,0.1,0.573,0.421,16447,0.347,0.014,0.14,0.121,0.111,0.027,0.089,0,15879,0.652,0.106,569
Bridgewater State University,2008,7665,0.375,0.129,0.548,0.442,17680,0.331,0.014,0.13,0.126,0.11,0.027,0.119,0,17595,0.544,0.109,85
Bridgewater State University,2009,9525,0.392,0.136,0.611,0.381,14656,0.372,0.016,0.091,0.116,0.105,0.031,0.127,0,13416,0.548,0.079,1240
Bridgewater State University,2010,9792,0.411,0.146,0.645,0.339,14786,0.349,0.015,0.092,0.119,0.105,0.041,0.134,0.145,14102,0.568,0.057,685
Bridgewater State University,2011,9393,0.407,0.135,0.632,0.366,16965,0.329,0.015,0.114,0.124,0.107,0.046,0.132,0.134,15887,0.557,0.072,1078
Bridgewater State University,2012,10224,0.442,0.133,0.619,0.377,15526,0.332,0.013,0.117,0.122,0.103,0.045,0.128,0.14,15280,0.566,0.07,246
Bridgewater State University,2013,9385,0.456,0.131,0.627,0.366,17645,0.331,0.014,0.115,0.123,0.107,0.045,0.124,0.141,17143,0.567,0.057,501
Bridgewater State University,2014,9210,0.433,0.142,0.618,0.379,18872,0.339,0.011,0.12,0.125,0.098,0.052,0.135,0.121,18739,0.57,0.06,133
Bridgewater State University,2015,11240,0.284,0.097,0.41,0.256,24001,0.355,0.011,0.128,0.126,0.098,0.052,0.124,0.107,17040,0.549,0.058,6961
Bridgewater State University,2016,10753,0.432,0.14,0.618,0.375,17846,0.322,0.014,0.118,0.118,0.111,0.052,0.12,0.145,18755,0.529,0.061,-909
Bridgewater State University,2017,9636,0.446,0.132,0.623,0.372,20942,0.336,0.013,0.122,0.111,0.094,0.065,0.126,0.132,21645,0.482,0.128,-703
Bridgewater State University,2018,10213,0.462,0.127,0.63,0.367,20431,0.34,0.013,0.12,0.109,0.095,0.08,0.113,0.131,21506,0.437,0.182,-1075
Fitchburg State University,2004,3513,0.292,0.082,0.512,0.485,14938,0.364,0.016,0.087,0.11,0.137,0.031,0.081,0,14155,0.55,0.122,783
Fitchburg State University,2005,3348,0.298,0.087,0.51,0.481,17334,0.35,0.012,0.085,0.111,0.133,0.03,0.088,0,16147,0.533,0.131,1188
Fitchburg State University,2006,5722,0.295,0.088,0.493,0.486,11055,0.396,0.01,0.081,0.114,0.107,0.004,0.094,0,10129,0.546,0.133,925
Fitchburg State University,2007,5035,0.296,0.088,0.491,0.481,13674,0.384,0.008,0.081,0.112,0.106,0.004,0.091,0,12531,0.522,0.145,1144
