,SchoolName,Percentage off Instruction - Current year total,Percentage off Academic support - Current year total,Percentage off Student services - Current year total,Percentage off Institutional support - Current year total,Percentage off Auxiliary enterprises -- Current year total
0,Bridgewater State University,32.22%,13.54%,11.57%,12.97%,10.84%
1,Bridgewater State University,32.05%,12.85%,13.07%,14.37%,10.33%
2,Bridgewater State University,33.98%,14.33%,11.49%,11.49%,9.79%
3,Bridgewater State University,34.68%,14.02%,12.06%,11.15%,8.95%
4,Bridgewater State University,33.09%,13.02%,12.64%,11.01%,11.94%
5,Bridgewater State University,37.18%,9.10%,11.59%,10.52%,12.72%
6,Bridgewater State University,34.92%,9.17%,11.94%,10.52%,13.37%
7,Bridgewater State University,32.86%,11.42%,12.36%,10.71%,13.18%
8,Bridgewater State University,33.20%,11.71%,12.21%,10.34%,12.75%
9,Bridgewater State University,33.06%,11.46%,12.28%,10.74%,12.41%
10,Bridgewater State University,33.87%,11.99%,12.49%,9.79%,13.52%
11,Bridgewater State University,35.47%,12.82%,12.59%,9.75%,12.42%
12,Bridgewater State University,32.23%,11.80%,11.79%,11.10%,11.97%
13,Bridgewater State University,33.59%,12.23%,11.07%,9.42%,12.62%
14,Bridgewater State University,33.98%,12.03%,10.88%,9.46%,11.30%
15,Fitchburg State University,36.42%,8.68%,10.97%,13.67%,8.12%
16,Fitchburg State University,35.00%,8.55%,11.10%,13.33%,8.82%
17,Fitchburg State University,39.58%,8.09%,11.37%,10.65%,9.35%
18,Fitchburg State University,38.45%,8.14%,11.21%,10.65%,9.06%
19,Fitchburg State University,39.10%,7.84%,10.98%,10.67%,8.49%
20,Fitchburg State University,37.32%,6.78%,10.92%,9.69%,9.23%
21,Fitchburg State University,50.16%,8.49%,14.62%,11.79%,11.42%
22,Fitchburg State University,49.35%,8.88%,14.91%,11.86%,11.56%
23,Fitchburg State University,49.59%,8.39%,15.15%,11.61%,11.78%
24,Fitchburg State University,49.40%,8.10%,15.79%,12.15%,11.46%
25,Fitchburg State University,50.73%,7.77%,15.44%,11.90%,10.78%
26,Fitchburg State University,49.01%,8.27%,15.67%,12.05%,10.59%
27,Fitchburg State University,49.14%,8.81%,15.16%,14.01%,9.92%
28,Fitchburg State University,49.30%,8.52%,14.62%,14.52%,10.03%
